Waste Entering Disposal Facilities,long,lat,long_enter,lat_enter
Athlone Refuse Transfer Station,18.515754199999947,-33.94863550000001,18.515811,-33.949660
Swartklip Refuse Transfer Station,18.64927179999995,-34.0492444,18.646488,"-34.051884, "
Vissershok Landfill Site,18.535079,-33.771607,18.646184,-34.052012
Bellville Landfill Site,18.648326399999974,-33.9357217,18.647577,-33.934635
Coastal Park Landfill Site,18.50203339999996,-34.0928465,18.503159,-34.095323
Bellville Compost Plant,18.648326399999974,-33.9357217,18.647577,-33.934635
Kraaifontein Waste Management Facility,18.73912459999997,-33.8387367,18.737599,"-33.837437, "
Vehicle depot facility, 18.6527, -33.9300,  18.6527, -33.9300
